                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.89124,                0.91036,                 1.0174,                0.51182,                0.48061,                0.45508,                0.31785,                 1.1762,                 1.4639,                 1.1828,             0.00044541,             0.00044541,             0.00044541
                     97,                0.88614,                 0.9072,                 1.0176,                0.54988,                0.45911,                0.46862,                0.32574,                 1.1857,                 1.4849,                 1.1847,             0.00044128,             0.00044128,             0.00044128
                     98,                0.89114,                0.89188,                 1.0148,                0.52553,                0.48305,                0.46654,                0.32754,                 1.1854,                  1.458,                 1.1824,             0.00043716,             0.00043716,             0.00043716
                     99,                0.88655,                0.89411,                  1.016,                0.57518,                0.45796,                0.47382,                 0.3327,                 1.1727,                 1.4732,                  1.176,             0.00043304,             0.00043304,             0.00043304
                    100,                0.88778,                0.88962,                 1.0137,                0.51289,                0.48658,                0.46131,                0.32424,                 1.1581,                 1.4596,                 1.1655,             0.00042891,             0.00042891,             0.00042891
                    101,                0.88108,                0.87474,                 1.0117,                0.53889,                   0.48,                0.47568,                0.33245,                 1.1652,                 1.4568,                 1.1712,             0.00042479,             0.00042479,             0.00042479
                    102,                0.88143,                0.86888,                  1.008,                 0.5871,                0.44956,                0.47476,                0.32953,                 1.1712,                 1.4741,                 1.1762,             0.00042066,             0.00042066,             0.00042066
                    103,                0.87195,                0.85855,                 1.0072,                0.54692,                0.48107,                 0.4714,                0.32845,                 1.1736,                 1.4686,                 1.1736,             0.00041654,             0.00041654,             0.00041654
                    104,                 0.8573,                0.85071,                 1.0031,                0.57996,                0.45106,                0.46519,                0.32641,                 1.1672,                 1.4683,                 1.1756,             0.00041242,             0.00041242,             0.00041242
                    105,                0.86735,                0.84956,                 1.0057,                 0.5459,                0.46992,                 0.4687,                0.32832,                 1.1714,                 1.4738,                 1.1805,             0.00040829,             0.00040829,             0.00040829
                    106,                0.84808,                0.83693,                0.99794,                0.52778,                0.46156,                0.45688,                 0.3194,                 1.1717,                  1.496,                 1.1836,             0.00040417,             0.00040417,             0.00040417
                    107,                0.85816,                0.84008,                 1.0055,                 0.5269,                0.47259,                0.45841,                 0.3175,                 1.1839,                 1.4914,                 1.1808,             0.00040005,             0.00040005,             0.00040005
                    108,                 0.8476,                0.82933,                0.99622,                0.53408,                0.46514,                0.45272,                0.31775,                 1.1765,                 1.4868,                 1.1819,             0.00039592,             0.00039592,             0.00039592
                    109,                0.84789,                0.83075,                 1.0007,                0.55694,                0.44592,                0.45913,                0.32663,                 1.1732,                 1.5048,                  1.178,              0.0003918,              0.0003918,              0.0003918
                    110,                0.86041,                0.83158,                 1.0014,                0.52313,                0.49039,                0.46264,                0.32307,                  1.178,                  1.505,                 1.1763,             0.00038768,             0.00038768,             0.00038768
